,OBJECTID,BYGNING_ID,FYLKES_NR,FYLKES_NAV,KOMMUNE_NR,KOMMUNE_NA,BYGNINGS_N,BYGNING_LN,BYGNINGSTY,BYGNINGS_1,BYGNINGSST,BYGNINGS_2,GODKJENT_D,IGANGSATT_,TATT_I_BRU,TATT_I_B_1,NAERINGSGR,NAERINGS_1,PAABYGG_TI,PAABYGG__1,REGISTRERT,REGISTRE_1,VANNFORSYN,VANNFORS_1,BRUKSAREAL,BRUKSARE_1,BRUKSARE_2,ANTALL_ETA,ANTALL_BOL,LKOORDINAT,LKOORDIN_1,LKOORDIN_2,LKOORDIN_3,LKOORDIN_4,LX_KOORDIN,LY_KOORDIN,LZ_KOORDIN,UKOORDINAT,UKOORDIN_1,UKOORDIN_2,UKOORDIN_3,UKOORDIN_4,UX_KOORDIN,UY_KOORDIN,UZ_KOORDIN,EIENDOM_AN,HAR_HEIS,BEBYGD_ARE,Romoppvarming,Ventilasjonsprinsipp,Varmt_tappevann_fra,Siste_rehab,Byggetype,Byggtype_profet,Energistandard_profet,Energibronn,Varme_fra_energisentral,Strøm,Energiomraadeid,SHAPE,oppgraderes,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elspesifikt_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elspesifikt_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elspesifikt_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt,scenario_navn
10,60,592798,3,OSLO,301,OSLO,81538484,0,152,Studenthjem/studentboliger,FA,Ferdigattest,19670306,19671026,19690604,20171102,X,Bolig, , ,20171102,20171102,0,Ikke utfylt,7807.0,7807.0,0.0,10,278,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648772.0,596732.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655189.68,261829.12,0.0,1,J,1.0,Radiator,Balansert,Varmesentral 1 (OMT72),2018,Boligblokk,B,Y,,1056110,885950,A,"{'x': 596732, 'y': 6648772, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,False,False,False,5823.0,3493800.0,0.689,0.214,0.047,0.8418982555,0.4658208701,0.0,0.3128829094,0.186328348,0.1897490374,0.0,0.2516440818,0.0690747779,0,0.0318818362,0.0276299112,0.1549393927,0,0.0374548874,0.026753491,0,0.0364476298,0.0107013964,0.0,0,Bergvarme100
11,64,593922,3,OSLO,301,OSLO,81553394,0,152,Studenthjem/studentboliger,FA,Ferdigattest,19661216,19671031,19691126,20170829,X,Bolig, , ,20170829,20170829,0,Ikke utfylt,1991.0,1991.0,0.0,5,67,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648805.0,596668.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655228.36,261768.34,0.0,1,N,1.0,Panelovn,Avtrekksventilasjon,Varmesentral 1 (OMT72),1970,Boligblokk,B,X,,312639,267909,A,"{'x': 596668, 'y': 6648805, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,False,False,False,2353.0,1411800.0,0.2274,0.091,0.014,0.3357867409,0.1882270946,0.0,0.0797937585,0.0752908378,0.0722688085,0.0,0.1102421335,0.0274281148,0,0.0081307462,0.0109712459,0.0718427727,0,0.0169658565,0.012118469,0,0.0092951494,0.0048473876,0.0,0,Bergvarme100
12,65,593923,3,OSLO,301,OSLO,81553408,0,152,Studenthjem/studentboliger,FA,Ferdigattest,19661216,19671031,19700220,20170829,X,Bolig, , ,20170829,20170829,0,Ikke utfylt,2164.0,2164.0,0.0,5,67,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648780.0,596611.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655208.61,261709.27,0.0,1,N,1.0,Panelovn,Avtrekksventilasjon,Varmesentral 1 (OMT72),1970,Boligblokk,B,X,,312639,397638,A,"{'x': 596611, 'y': 6648780, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,False,False,False,2557.0,1534200.0,0.2471,0.099,0.015,0.3649635899,0.2045823369,0.0,0.0867271187,0.0818329347,0.0785483182,0.0,0.1198211838,0.0298113714,0,0.008837235,0.0119245486,0.0780852638,0,0.0184400369,0.013171455,0,0.0101028143,0.005268582,0.0,0,Bergvarme100
13,71,593932,3,OSLO,301,OSLO,81553491,0,152,Studenthjem/studentboliger,FA,Ferdigattest,19661216,19670613,19680619,20170829,X,Bolig, , ,20170829,20170829,0,Ikke utfylt,2164.0,2164.0,0.0,5,67,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648755.0,596555.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655188.77,261651.2,0.0,1,N,1.0,Panelovn,Avtrekksventilasjon,Varmesentral 1 (OMT72),1970,Boligblokk,B,X,,312639,306648,A,"{'x': 596555, 'y': 6648755, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,False,False,False,2557.0,1534200.0,0.2471,0.099,0.015,0.3649635899,0.2045823369,0.0,0.0867271187,0.0818329347,0.0785483182,0.0,0.1198211838,0.0298113714,0,0.008837235,0.0119245486,0.0780852638,0,0.0184400369,0.013171455,0,0.0101028143,0.005268582,0.0,0,Bergvarme100
14,72,593933,3,OSLO,301,OSLO,81553505,0,152,Studenthjem/studentboliger,FA,Ferdigattest,19661216,19670803,19680802,20171019,Y,Annet som ikke er næring, , ,20171019,20171019,0,Ikke utfylt,3605.0,3580.0,25.0,5,126,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648675.0,596504.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655113.68,261593.13,0.0,1,N,1.0,Panelovn,Avtrekksventilasjon,Varmesentral 1 (OMT72),1970,Boligblokk,B,X,,549025,506479,A,"{'x': 596504, 'y': 6648675, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,False,False,False,4260.0,2556000.0,0.4117,0.165,0.026,0.6079915626,0.3408129965,0.0,0.1444784025,0.1363251986,0.1308533675,0.0,0.1996096892,0.049662659,0,0.0147219187,0.0198650636,0.1300819667,0,0.0307191928,0.0219422805,0,0.0168302428,0.0087769122,0.0,0,Bergvarme100
15,73,593934,3,OSLO,301,OSLO,81553513,0,612,Barnehage,FA,Ferdigattest,19661216,19670803,19690604,20171019,Q,Helse- og sosialtjenester, , ,20171019,20171019,0,Ikke utfylt,561.0,0.0,561.0,2,0,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648689.0,596533.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655125.0,261623.3,0.0,1,J,1.0,Panelovn,Balansert,Varmesentral 1 (OMT72),1970,Barnehage,F,X,,117390,82643,A,"{'x': 596533, 'y': 6648689, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,False,False,False,365.0,219000.0,0.0806,0.038,0.011,0.0679470062,0.0292178464,0.0,0.0418665194,0.0116871386,0.0270420213,0.0,0.0355094604,0.0045672461,0,0.0067088874,0.0018268985,0.0291153158,0,0.0032224302,0.0023017359,0,0.0099608389,0.0009206944,0.0,0,Bergvarme100
16,74,593935,3,OSLO,301,OSLO,81553521,0,152,Studenthjem/studentboliger,FA,Ferdigattest,19661216,19670613,19680724,20170929,X,Bolig, , ,19010101,19010101,0,Ikke utfylt,2164.0,2164.0,0.0,5,67,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648643.0,596568.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655075.99,261654.01,0.0,1,N,1.0,Panelovn,Avtrekksventilasjon,Varmesentral 1 (OMT72),1970,Boligblokk,B,X,,312639,304293,A,"{'x': 596568, 'y': 6648643, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,False,False,False,2557.0,1534200.0,0.2471,0.099,0.015,0.3649635899,0.2045823369,0.0,0.0867271187,0.0818329347,0.0785483182,0.0,0.1198211838,0.0298113714,0,0.008837235,0.0119245486,0.0780852638,0,0.0184400369,0.013171455,0,0.0101028143,0.005268582,0.0,0,Bergvarme100
17,75,593936,3,OSLO,301,OSLO,81553548,0,152,Studenthjem/studentboliger,FA,Ferdigattest,19661216,19671125,19700110,20171102,Y,Annet som ikke er næring, , ,20171102,20171102,0,Ikke utfylt,3156.0,3156.0,0.0,4,66,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648725.0,596617.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655153.26,261710.27,0.0,1,N,1.0,Panelovn,Avtrekksventilasjon,Varmesentral 1 (OMT72),1970,Boligblokk,B,X,,564275,629648,A,"{'x': 596617, 'y': 6648725, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,False,False,False,3730.0,2238000.0,0.3604,0.144,0.022,0.5322666773,0.2983649978,0.0,0.1264837277,0.1193459991,0.1145556804,0.0,0.1747484547,0.0434772127,0,0.012888315,0.0173908851,0.113880357,0,0.0268931407,0.0192093862,0,0.0147340489,0.0076837545,0.0,0,Bergvarme100
18,76,593937,3,OSLO,301,OSLO,81553556,0,612,Barnehage,FA,Ferdigattest,19661216,19671125,19700415,20171102,P,Undervisning, , ,20171102,20171102,0,Ikke utfylt,562.0,0.0,562.0,2,0,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648736.0,596646.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655161.6,261740.16,0.0,1,N,1.0,Panelovn,Balansert,Varmesentral 1 (OMT72),2009,Barnehage,F,X,,117390,99556,A,"{'x': 596646, 'y': 6648736, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,False,False,False,366.0,219600.0,0.0807,0.038,0.011,0.0680681239,0.0292699281,0.0,0.0419411478,0.0117079712,0.0270902245,0.0,0.0355727571,0.0045753874,0,0.0067208462,0.001830155,0.0291672148,0,0.0032281743,0.0023058388,0,0.0099785944,0.0009223355,0.0,0,Bergvarme100
19,77,593938,3,OSLO,301,OSLO,81553564,0,152,Studenthjem/studentboliger,FA,Ferdigattest,19661216,19671125,19691031,20171101,Y,Annet som ikke er næring, , ,20171101,20171101,0,Ikke utfylt,9945.0,9619.0,326.0,13,328,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648748.0,596674.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655171.02,261769.15,0.0,1,J,1.0,Radiator,Balansert,Varmesentral 1 (OMT72),2015,Boligblokk,B,X,,1250556,773317,A,"{'x': 596674, 'y': 6648748, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,False,False,False,11752.0,7051200.0,1.1356,0.454,0.071,1.6772471817,0.9401900832,0.0,0.3985680202,0.3760760333,0.3609810651,0.0,0.5506569652,0.1370028137,0,0.0406128937,0.0548011255,0.358853026,0,0.0847440699,0.0605314785,0,0.0464290609,0.0242125914,0.0,0,Bergvarme100
20,78,593939,3,OSLO,301,OSLO,81553572,0,152,Studenthjem/studentboliger,FA,Ferdigattest,19661216,19671031,19700110,20171101,Y,Annet som ikke er næring, , ,20171101,20171101,0,Ikke utfylt,2130.0,2061.0,69.0,5,36,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648692.0,596680.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655114.67,261770.05,0.0,1,N,1.0,Panelovn,Avtrekksventilasjon,Varmesentral 1 (OMT72),1970,Boligblokk,B,X,,320264,322806,A,"{'x': 596680, 'y': 6648692, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,False,False,False,2517.0,1510200.0,0.2432,0.097,0.015,0.3592294115,0.2013680118,0.0,0.085364493,0.0805472047,0.0773141949,0.0,0.1179385959,0.0293429857,0,0.0086983875,0.0117371943,0.0768584158,0,0.0181503136,0.0129645097,0,0.0099440824,0.0051858039,0.0,0,Bergvarme100
21,79,593941,3,OSLO,301,OSLO,81553599,0,152,Studenthjem/studentboliger,FA,Ferdigattest,19661216,19671031,19700220,20170929,X,Bolig, , ,20170929,19010101,0,Ikke utfylt,2164.0,2164.0,0.0,5,67,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648669.0,596624.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655096.83,261712.17,0.0,1,N,1.0,Panelovn,Avtrekksventilasjon,Varmesentral 1 (OMT72),1970,Boligblokk,B,X,,312639,286105,A,"{'x': 596624, 'y': 6648669, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,False,False,False,2557.0,1534200.0,0.2471,0.099,0.015,0.3649635899,0.2045823369,0.0,0.0867271187,0.0818329347,0.0785483182,0.0,0.1198211838,0.0298113714,0,0.008837235,0.0119245486,0.0780852638,0,0.0184400369,0.013171455,0,0.0101028143,0.005268582,0.0,0,Bergvarme100
22,100,4285839,3,OSLO,301,OSLO,81736359,0,152,Studenthjem/studentboliger,FA,Ferdigattest,19661216,19670926,19690604,20171102,X,Bolig, , ,20171102,20171102,0,Ikke utfylt,11503.0,11503.0,0.0,14,320,L,22,EUREF89 UTM Sone 32,--,UOppgitt,6648720.0,596780.0,0.0,U,23,EUREF89 UTM Sone 33,--,UOppgitt,6655133.51,261872.24,0.0,1,J,1.0,Radiator,Avtrekksventilasjon,Varmesentral 1 (OMT72),2007,Boligblokk,B,X,,1509818,954060,A,"{'x': 596780, 'y': 6648720, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,False,False,False,13594.0,8156400.0,1.3135,0.525,0.082,1.9400074742,1.0874818026,0.0,0.4610083395,0.4349927211,0.4175329505,0.0,0.6369237879,0.158465899,0,0.0469753762,0.0633863596,0.4150715292,0,0.0980202148,0.0700144392,0,0.0537027137,0.0280057757,0.0,0,Bergvarme100
23,111,5614767,3,OSLO,301,OSLO,300575950,0,152,Studenthjem/studentboliger,MB,Midlertidig brukstillatelse,20160816,20160916,20171106,20171128,Y,Annet som ikke er næring, , ,20161010,20160830,0,Ikke utfylt,6484.0,6303.0,181.0,9,220,L,22,EUREF89 UTM Sone 32, , ,6648597.6,596766.6,0.0,U,23,EUREF89 UTM Sone 33, , ,6655012.76,261847.79,0.0,1,N,0.0,Radiator,Balansert,Varmesentral 1 (OMT72),2018,Boligblokk,B,Y,,903603,608017,A,"{'x': 596766.5999999996, 'y': 6648597.6, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,True,False,False,False,4836.0,2901600.0,0.5722,0.178,0.039,0.699227397,0.3868813272,0.0,0.2598607383,0.1547525309,0.1575935389,0.0,0.2089996447,0.057369138,0,0.026479035,0.0229476552,0.1286828516,0,0.0311076585,0.0222197561,0,0.0302710941,0.0088879024,0.0,0,Bergvarme100
